학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000010234,전주기린중학교,중학교,1983-03-02,공립,본교,운영,전북특별자치도 전주시 덕진구 우아동3가 743-10,전북특별자치도 전주시 덕진구 동부대로 739,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8541504,127.1569104,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005958,전주중앙초등학교,초등학교,1946-05-31,공립,본교,운영,전북특별자치도 전주시 완산구 풍남동3가 67-3,전북특별자치도 전주시 완산구 경기전길 99,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81504675,127.1513304,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005963,전주완산서초등학교,초등학교,1992-09-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동1가 138-1,전북특별자치도 전주시 완산구 안행로 127,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8067646,127.1336242,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000026490,전라중학교,중학교,1968-03-28,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동2가 1297,전북특별자치도 전주시 덕진구 세병로 196,8321000,전북특별자치도교육청,8332000,전북특별자치도자치도전주교육지원청,2013-11-29,2024-02-29,35.87992086,127.131387,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006010,전주송북초등학교,초등학교,1993-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동1가 107-1,전북특별자치도 전주시 덕진구 천마산로 16,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86337797,127.1243496,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006004,전주조촌초등학교,초등학교,1919-09-23,공립,본교,운영,전북특별자치도 전주시 덕진구 여의동 574-1,전북특별자치도 전주시 덕진구 쪽구름로 39,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86952543,127.0758772,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012984,전주성심여자고등학교,고등학교,1952-04-30,사립,본교,운영,전북특별자치도 전주시 완산구 교동 280,전북특별자치도 전주시 완산구 경기전길 130,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81195132,127.150661,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012978,전주해성고등학교,고등학교,1962-12-31,사립,본교,운영,전북특별자치도 전주시 완산구 삼천동2가 555,전북특별자치도 전주시 완산구 계룡산길 88,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.78676451,127.1008413,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012989,전주중앙여자고등학교,고등학교,1982-03-01,사립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 109-2,전북특별자치도 전주시 덕진구 석소로 25,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82828292,127.1678274,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010227,전주아중중학교,중학교,2005-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 우아동2가 888-1,전북특별자치도 전주시 덕진구 중상보로 16,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83248496,127.1703814,2024-03-22,C738100,청주대학교 지방교육재정연구원
